Model Year,Make,Range,Volume
2012,AZURE DYNAMICS,56.0,3
2012,FORD,76.0,13
2012,MITSUBISHI,62.0,43
2012,NISSAN,73.0,604
2012,TESLA,265.0,141
2012,TOYOTA,103.0,10
2016,BMW,81.0,24
2016,CHEVROLET,82.0,93
2016,FIAT,84.0,148
2016,FORD,76.0,38
2016,KIA,93.0,419
2016,MERCEDES-BENZ,87.0,23
2016,MITSUBISHI,62.0,11
2016,NISSAN,84.0,1198
2016,SMART,68.0,36
2016,TESLA,205.99878197320342,1642
2016,VOLKSWAGEN,83.0,338
2020,AUDI,218.0,24
2020,BMW,153.0,24
2020,CHEVROLET,259.0,1049
2020,HYUNDAI,250.36994219653178,173
2020,JAGUAR,234.0,75
2020,KIA,238.4170731707317,410
2020,NISSAN,159.05685618729098,598
2020,PORSCHE,197.97413793103448,116
2020,TESLA,296.3602197166811,6918
